"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"TP_MOTIVO";"DS_TP_MOTIVO";"CD_MOTIVO";"DS_MOTIVO"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"AL";"28452";"PORTO CALVO";"20002298567";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"AL";"27413";"COLÔNIA LEOPOLDINA";"20002185016";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"AL";"27510";"FEIRA GRANDE";"20002084895";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"AL";"27197";"BOCA DA MATA";"20002015039";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"AL";"28894";"CRAÍBAS";"20002265484";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"AL";"27472";"DELMIRO GOUVEIA";"20002367993";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"AL";"28770";"SATUBA";"20001939166";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"AL";"28576";"SANTA LUZIA DO NORTE";"20002084817";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"AL";"27936";"MARECHAL DEODORO";"20002275985";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"AL";"28770";"SATUBA";"20002370454";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
