"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO";"NM_TIPO_DESTINACAO_VOTOS"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";11;"PREFEITO";"COLIGAÇÃO";65;"PC do B";"PARTIDO COMUNISTA DO BRASIL";101;"Federação BRASIL DA ESPERANÇA - FE BRASIL";"PT/PC do B/PV";"PT/PC do B/PV";30001704339;"MACAPÁ DA ESPERANÇA";"Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / Federação PSOL REDE(PSOL/REDE)";"D";"DEFERIDO";"#NE"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";13;"VEREADOR";"PARTIDO ISOLADO";22;"PL";"PARTIDO LIBERAL";-1;"#NULO#";"#NULO#";"#NULO#";30001707077;"#NULO#";"PL";"D";"DEFERIDO";"Válido (legenda)"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06017";"AMAPÁ";12;"VICE-PREFEITO";"COLIGAÇÃO";13;"PT";"PARTIDO DOS TRABALHADORES";101;"Federação BRASIL DA ESPERANÇA - FE BRASIL";"PT/PC do B/PV";"PT/PC do B/PV";30001728931;"TRABALHO, SERIEDADE E DESENVOLVIMENTO";"Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / PP";"D";"DEFERIDO";"#NE"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";13;"VEREADOR";"FEDERAÇÃO";50;"PSOL";"PARTIDO SOCIALISMO E LIBERDADE";102;"Federação PSOL REDE";"PSOL/REDE";"PSOL/REDE";30001704310;"#NULO#";"Federação PSOL REDE(PSOL/REDE)";"D";"DEFERIDO";"Válido (legenda)"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06157";"SANTANA";13;"VEREADOR";"PARTIDO ISOLADO";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";30001738108;"#NULO#";"PP";"D";"DEFERIDO";"Válido (legenda)"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06130";"LARANJAL DO JARI";11;"PREFEITO";"COLIGAÇÃO";18;"REDE";"REDE SUSTENTABILIDADE";102;"Federação PSOL REDE";"PSOL/REDE";"PSOL/REDE";30001723438;"UNIDOS PELO LARANJAL, CONTINUAÇÃO DE FORÇA, TRABALHO E COMPROMISSO";"MDB / UNIÃO / SOLIDARIEDADE / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / Federação PSOL REDE(PSOL/REDE) / PP / PDT";"D";"DEFERIDO";"#NE"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06092";"OIAPOQUE";12;"VICE-PREFEITO";"COLIGAÇÃO";18;"REDE";"REDE SUSTENTABILIDADE";102;"Federação PSOL REDE";"PSOL/REDE";"PSOL/REDE";30001759462;"PARA O TRABALHO CONTINUAR";"PP / SOLIDARIEDADE / Federação PSOL REDE(PSOL/REDE)";"D";"DEFERIDO";"#NE"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06017";"AMAPÁ";12;"VICE-PREFEITO";"COLIGAÇÃO";77;"SOLIDARIEDADE";"SOLIDARIEDADE";-1;"#NULO#";"#NULO#";"#NULO#";30001745211;"uniao pelo amapa";"PDT / UNIÃO / SOLIDARIEDADE / PL";"D";"DEFERIDO";"#NE"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06157";"SANTANA";11;"PREFEITO";"COLIGAÇÃO";65;"PC do B";"PARTIDO COMUNISTA DO BRASIL";101;"Federação BRASIL DA ESPERANÇA - FE BRASIL";"PT/PC do B/PV";"PT/PC do B/PV";30001712261;"SANTANA É DAQUI PRA MELHOR";"PP / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / PSD / MDB / Federação PSOL REDE(PSOL/REDE) / PDT / SOLIDARIEDADE / UNIÃO / REPUBLICANOS";"D";"DEFERIDO";"#NE"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06084";"PEDRA BRANCA DO AMAPARI";13;"VEREADOR";"FEDERAÇÃO";13;"PT";"PARTIDO DOS TRABALHADORES";101;"Federação BRASIL DA ESPERANÇA - FE BRASIL";"PT/PC do B/PV";"PT/PC do B/PV";30001746813;"#NULO#";"Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV)";"D";"DEFERIDO";"Válido (legenda)"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06106";"SERRA DO NAVIO";13;"VEREADOR";"PARTIDO ISOLADO";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";30001759111;"#NULO#";"PP";"D";"DEFERIDO";"Válido (legenda)"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06041";"ITAUBAL";13;"VEREADOR";"PARTIDO ISOLADO";44;"UNIÃO";"UNIÃO BRASIL";-1;"#NULO#";"#NULO#";"#NULO#";30001722910;"#NULO#";"UNIÃO";"D";"DEFERIDO";"Válido (legenda)"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06092";"OIAPOQUE";11;"PREFEITO";"COLIGAÇÃO";25;"PRD";"PARTIDO RENOVAÇÃO DEMOCRÁTICA";-1;"#NULO#";"#NULO#";"#NULO#";30001751692;"DO JEITO CERTO COM A NOSSA GENTE";"REPUBLICANOS / PRD / Federação PSDB CIDADANIA(PSDB/CIDADANIA)";"D";"DEFERIDO";"#NE"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";11;"PREFEITO";"PARTIDO ISOLADO";29;"PCO";"PARTIDO DA CAUSA OPERÁRIA";-1;"#NULO#";"#NULO#";"#NULO#";30001755544;"#NULO#";"PCO";"D";"DEFERIDO";"Válido"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06076";"MAZAGÃO";13;"VEREADOR";"PARTIDO ISOLADO";15;"MDB";"MOVIMENTO DEMOCRÁTICO BRASILEIRO";-1;"#NULO#";"#NULO#";"#NULO#";30001726777;"#NULO#";"MDB";"D";"DEFERIDO";"Válido (legenda)"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06076";"MAZAGÃO";13;"VEREADOR";"FEDERAÇÃO";23;"CIDADANIA";"CIDADANIA";100;"Federação PSDB CIDADANIA";"PSDB/CIDADANIA";"PSDB/CIDADANIA";30001755590;"#NULO#";"Federação PSDB CIDADANIA(PSDB/CIDADANIA)";"D";"DEFERIDO";"Válido (legenda)"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06076";"MAZAGÃO";13;"VEREADOR";"PARTIDO ISOLADO";12;"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";-1;"#NULO#";"#NULO#";"#NULO#";30001745990;"#NULO#";"PDT";"D";"DEFERIDO";"Válido (legenda)"
"08/10/2024";"12:04:33";2024;2;"ELEIÇÃO ORDINÁRIA";1;619;"Eleições Municipais 2024";"06/10/2024";"AP";"06106";"SERRA DO NAVIO";13;"VEREADOR";"PARTIDO ISOLADO";44;"UNIÃO";"UNIÃO BRASIL";-1;"#NULO#";"#NULO#";"#NULO#";30001707353;"#NULO#";"UNIÃO";"D";"DEFERIDO";"Válido (legenda)"
