"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"MA";"07501";"CONCEIÇÃO DO LAGO-AÇU";"13";"VEREADOR";"COLIGACAO";"11";"PP";"PARTIDO PROGRESSISTA";"100000001076";"CORRENTE SOCIAL CLASSISTA";"SD / PSL / PDT / PP / PV / PT / PMB / PSC / PTC";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"MA";"07722";"ITINGA DO MARANHÃO";"12";"VICE-PREFEITO";"COLIGACAO";"90";"PROS";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"100000001091";"COMPROMISSO, HONESTIDADE E FÉ: É ISSO O QUE O POVO QUER";"PTC / PHS / PROS / PATRIOTA / PP / PT";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"MA";"09717";"ZÉ DOCA";"12";"VICE-PREFEITO";"COLIGACAO";"51";"PATRIOTA";"PARTIDO ECOLÓGICO NACIONAL";"100000000290";"TODOS POR ZÉ DOCA";"PT / PATRIOTA / PMDB / PTN / PPS / PHS / PMB / PSB / PV / PSDB / PPL / PC do B / PRB";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"MA";"07102";"ARAGUANÃ";"12";"VICE-PREFEITO";"COLIGACAO";"27";"PSDC";"PARTIDO SOCIAL DEMOCRATA CRISTÃO";"100000000296";"ARAGUANÃ CONTINUA";"PR / PMDB / PMN / PROS / PRP / PSD / PSDC / PSDB / PDT";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"MA";"09571";"SANTA INÊS";"12";"VICE-PREFEITO";"COLIGACAO";"33";"PMN";"PARTIDO DA MOBILIZAÇÃO NACIONAL";"100000000316";"SANTA INÊS UNIDA";"PSDB / PHS / PMN / PP / PSC / PRTB / DEM / PSL / PRB / PATRIOTA / PMB / PPS / PC do B / PR / PPL";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"MA";"07854";"GONÇALVES DIAS";"12";"VICE-PREFEITO";"COLIGACAO";"20";"PSC";"PARTIDO SOCIAL CRISTÃO";"100000000323";"TRABALHANDO POR AMOR A GONÇALVES DIAS";"PC do B / PDT / PT / PSC / PSDC / PRP";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"MA";"09318";"SUCUPIRA DO NORTE";"13";"VEREADOR";"COLIGACAO";"45";"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"100000000324";"UNIDOS POR SUCUPIRA DO NORTE";"PSL / PDT / PT / PSDC / PRTB / PMN / PPS / PSDB / PATRIOTA / PSC / SD";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"MA";"09610";"AÇAILÂNDIA";"13";"VEREADOR";"COLIGACAO";"51";"PATRIOTA";"PARTIDO ECOLÓGICO NACIONAL";"100000001431";"JUNTOS SOMOS FORTES";"PRP / PRTB / PMN / PTC / PTB / PATRIOTA";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"MA";"08613";"PEDREIRAS";"11";"PREFEITO";"COLIGACAO";"11";"PP";"PARTIDO PROGRESSISTA";"100000000912";"PEDREIRAS NAO PODE PARAR II";"PRB / PSC / PT do B / PR / PMN / PP / PSDC";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"MA";"09598";"PAULO RAMOS";"11";"PREFEITO";"COLIGACAO";"19";"PTN";"PARTIDO TRABALHISTA NACIONAL";"100000001461";"JUNTOS SOMOS MAIS FORTES";"PP / PMDB / PTN / PSC / PSB / PV / PATRIOTA / PSD / PT do B / PROS";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"MA";"07358";"BENEDITO LEITE";"11";"PREFEITO";"COLIGACAO";"25";"DEM";"DEMOCRATAS";"100000000458";"UNIDOS POR UMA BENEDITO LEITE MELHOR 1";"PP / PV / PTB / PRTB / PSDB / DEM / PRB";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"MA";"09237";"SÃO MATEUS DO MARANHÃO";"13";"VEREADOR";"COLIGACAO";"25";"DEM";"DEMOCRATAS";"100000000465";"SÃO MATEUS, UMA CIDADE PARA CHAMAR DE SUA 1";"PMDB / DEM / PATRIOTA / PROS";"D";"DEFERIDO"
