"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"TP_MOTIVO";"DS_TP_MOTIVO";"CD_MOTIVO";"DS_MOTIVO"
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"22071";"SAPÉ";"150001274322";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"21512";"QUEIMADAS";"150000735614";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"19801";"CATURITÉ";"150001045154";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"21172";"PATOS";"150000652391";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"19810";"CAMPINA GRANDE";"150000862510";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"19674";"CACHOEIRA DOS ÍNDIOS";"150001035683";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"20850";"MASSARANDUBA";"150001168300";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"22357";"TEIXEIRA";"150000638499";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"19810";"CAMPINA GRANDE";"150000862172";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"20052";"CUITEGI";"150001054963";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"21172";"PATOS";"150001098141";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"21512";"QUEIMADAS";"150001244224";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"19666";"JOCA CLAUDINO";"150000674799";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"20850";"MASSARANDUBA";"150000662971";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"19461";"MARIZÓPOLIS";"150000872214";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"30/09/2024";"10:59:51";2020;2;"Eleição Ordinária";426;"Eleições Municipais 2020";"PB";"22357";"TEIXEIRA";"150000731866";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
