"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"PE";"25739";"SÃO LOURENÇO DA MATA";"12";"VICE-PREFEITO";"COLIGACAO";"23";"PPS";"PARTIDO POPULAR SOCIALISTA";"170000001324";"FRENTE POPULAR DE SÃO LOURENÇO";"PP / PDT / PMDB / PSC / PR / PPS / DEM / PRTB / PSB / PRP / PSD / SD / PSL";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"PE";"25739";"SÃO LOURENÇO DA MATA";"12";"VICE-PREFEITO";"COLIGACAO";"18";"REDE";"REDE SUSTENTABILIDADE";"170000001331";"JUNTOS PELA VERDADEIRA MUDANÇA";"REDE / PSDB";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"PE";"26336";"ITAPISSUMA";"11";"PREFEITO";"COLIGACAO";"22";"PR";"PARTIDO DA REPÚBLICA";"170000001363";"O MELHOR PARA ITAPISSUMA";"PR / PTB";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"PE";"25135";"PAULISTA";"11";"PREFEITO";"COLIGACAO";"22";"PR";"PARTIDO DA REPÚBLICA";"170000000291";"PAULISTA NO RUMO CERTO";"PSB / PC do B / PMDB / PSDB / DEM / PV / PSL / PSDC / PR / PPS / PATRIOTA / PTC / PSD / SD / PMB / PROS / PRTB / PRP / PRB";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"PE";"26271";"VITÓRIA DE SANTO ANTÃO";"13";"VEREADOR";"COLIGACAO";"27";"PSDC";"PARTIDO SOCIAL DEMOCRATA CRISTÃO";"170000000512";"VITÓRIA DO FUTURO";"PDT / PSDC / PPS";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"PE";"25895";"SURUBIM";"11";"PREFEITO";"COLIGACAO";"23";"PPS";"PARTIDO POPULAR SOCIALISTA";"170000000516";"FRENTE POPULAR DE SURUBIM";"PSB / PR / PSD / DEM / PSDB / PPS / PTC / PRTB / PRP / PSL";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"PE";"23310";"BELÉM DO SÃO FRANCISCO";"11";"PREFEITO";"COLIGACAO";"22";"PR";"PARTIDO DA REPÚBLICA";"170000000517";"É HORA DE MUDAR PRA VALER";"DEM / PROS / PHS / PSC / PT / PR / PMDB / PSD / PSDB";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"PE";"25259";"POMBOS";"13";"VEREADOR";"COLIGACAO";"43";"PV";"PARTIDO VERDE";"170000000219";"UNIDOS POR POMBOS";"PHS / PV / PTN";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"PE";"25291";"QUIPAPÁ";"11";"PREFEITO";"COLIGACAO";"14";"PTB";"PARTIDO TRABALHISTA BRASILEIRO";"170000000232";"QUIPAPÁ, NOSSA CIDADE, NOSSO LUGAR";"PSD / PR / PSC / PTB / DEM";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"PE";"24490";"ITAÍBA";"13";"VEREADOR";"COLIGACAO";"14";"PTB";"PARTIDO TRABALHISTA BRASILEIRO";"170000000821";"ITAÍBA PODE MAIS PARA VEREADOR";"PTB / PDT / PSD";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"PE";"25810";"SERTÂNIA";"11";"PREFEITO";"COLIGACAO";"65";"PC do B";"PARTIDO COMUNISTA DO BRASIL";"170000000555";"Frente Sertânia no Rumo Certo";"PSDB / PTB / PT / PSD / PC do B / PR / PTN / PTC / PSC";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"PE";"23299";"BELÉM DE MARIA";"12";"VICE-PREFEITO";"COLIGACAO";"77";"SD";"SOLIDARIEDADE";"170000001076";"Unidos por Belém e Batateira";"PTB / PR / DEM / PTC / PV / SD";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"PE";"23450";"BONITO";"13";"VEREADOR";"COLIGACAO";"19";"PTN";"PARTIDO TRABALHISTA NACIONAL";"170000001078";"AVANÇA BONITO";"PTC / PTB / PP / PSDB / PT do B / PSL / PSC / PTN / SD / PRB";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"PE";"25992";"TAQUARITINGA DO NORTE";"11";"PREFEITO";"COLIGACAO";"22";"PR";"PARTIDO DA REPÚBLICA";"170000000412";"Frente Popular de Taquartinga do Norte";"PV / PSDB / PMDB / PRB / PR / PSB / PTN / PPS / PTB / PSC / PMB / PC do B";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"PE";"25437";"SALGUEIRO";"12";"VICE-PREFEITO";"COLIGACAO";"19";"PTN";"PARTIDO TRABALHISTA NACIONAL";"170000000181";"PRA MUDAR DE VERDADE";"PMDB / PV / PRB / PC do B / PTN / PSL / PTB / PSC / PTC / DEM / PPS / PROS / PSDB / PP";"D";"DEFERIDO"
