"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RN";"17418";"MACAÍBA";"11";"PREFEITO";"COLIGACAO";"65";"PC do B";"PARTIDO COMUNISTA DO BRASIL";"200000000830";"UNIÃO E TRABALHO";"DEM / PTN / PSB / PC do B / SD / PROS / PSD";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RN";"18597";"SENADOR ELÓI DE SOUZA";"13";"VEREADOR";"COLIGACAO";"40";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"200000000853";"AVANÇA ELOI DE SOUZA 2";"PT / PR / DEM / PSB / PSDB / PT do B / SD";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RN";"16519";"CEARÁ-MIRIM";"12";"VICE-PREFEITO";"COLIGACAO";"43";"PV";"PARTIDO VERDE";"200000000205";"ESPERANÇA DO POVO";"PSD / PRB / PDT / PT / PTB / PMDB / PPS / DEM / PSDC / PHS / PMN / PMB / PSB / PV / PRP / PC do B / SD / PROS";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RN";"16519";"CEARÁ-MIRIM";"12";"VICE-PREFEITO";"COLIGACAO";"65";"PC do B";"PARTIDO COMUNISTA DO BRASIL";"200000000205";"ESPERANÇA DO POVO";"PSD / PRB / PDT / PT / PTB / PMDB / PPS / DEM / PSDC / PHS / PMN / PMB / PSB / PV / PRP / PC do B / SD / PROS";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RN";"18872";"UMARIZAL";"11";"PREFEITO";"COLIGACAO";"25";"DEM";"DEMOCRATAS";"200000000208";"MUDA UMARIZAL";"DEM / PC do B / PR / PPS";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RN";"17833";"PASSAGEM";"11";"PREFEITO";"COLIGACAO";"22";"PR";"PARTIDO DA REPÚBLICA";"200000000241";"UNIDOS POR PASSAGEM";"PMDB / PR / PSDC / SD";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RN";"18058";"SERRA CAIADA";"12";"VICE-PREFEITO";"COLIGACAO";"14";"PTB";"PARTIDO TRABALHISTA BRASILEIRO";"200000000247";"COLIGAÇÃO VONTADE DO POVO";"PP / PDT / PMDB / PTB / PRTB / SD / PMB / PC do B";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RN";"16853";"GROSSOS";"12";"VICE-PREFEITO";"COLIGACAO";"23";"PPS";"PARTIDO POPULAR SOCIALISTA";"200000000267";"COM A FORÇA DO POVO RECONSTRUINDO GROSSOS";"PPS / PSD / PP / PV";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RN";"16101";"BODÓ";"12";"VICE-PREFEITO";"COLIGACAO";"19";"PTN";"PARTIDO TRABALHISTA NACIONAL";"200000000276";"JUNTOS SOMOS FORTES";"SD / PR / DEM / PC do B / PTN / PTC";"D";"DEFERIDO"
"18/02/2021";"12:08:37";"2016";"2";"ELEIÇÃO ORDINÁRIA";"1";"220";"Eleições Municipais 2016";"02/10/2016";"RN";"16411";"CAMPO REDONDO";"11";"PREFEITO";"COLIGACAO";"13";"PT";"PARTIDO DOS TRABALHADORES";"200000000187";"CAMPO REDONDO MELHOR PRA VOCE";"PT / PMDB / PTN / PSC / DEM / PSDB / PSD / PC do B / SD / PROS";"D";"DEFERIDO"
