"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"TP_MOTIVO";"DS_TP_MOTIVO";"CD_MOTIVO";"DS_MOTIVO"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03050";"ALTO ALEGRE";"230002392837";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03069";"CANTÁ";"230002365800";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03018";"BOA VISTA";"230002052338";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03115";"NORMANDIA";"230002250813";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03131";"SÃO JOÃO DA BALIZA";"230002139387";"J";"Fundamentos legais de julgamento";3;"Inelegibilidade infraconstitucional(LC 64/90)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03107";"UIRAMUTÃ";"230002129701";"J";"Fundamentos legais de julgamento";3;"Inelegibilidade infraconstitucional(LC 64/90)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03050";"ALTO ALEGRE";"230002288137";"J";"Fundamentos legais de julgamento";3;"Inelegibilidade infraconstitucional(LC 64/90)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03085";"RORAINÓPOLIS";"230002109525";"J";"Fundamentos legais de julgamento";3;"Inelegibilidade infraconstitucional(LC 64/90)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03034";"CARACARAÍ";"230002132123";"J";"Fundamentos legais de julgamento";3;"Inelegibilidade infraconstitucional(LC 64/90)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03050";"ALTO ALEGRE";"230002064372";"J";"Fundamentos legais de julgamento";3;"Inelegibilidade infraconstitucional(LC 64/90)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03018";"BOA VISTA";"230002186568";"J";"Fundamentos legais de julgamento";3;"Inelegibilidade infraconstitucional(LC 64/90)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03050";"ALTO ALEGRE";"230002064376";"J";"Fundamentos legais de julgamento";3;"Inelegibilidade infraconstitucional(LC 64/90)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03107";"UIRAMUTÃ";"230002127845";"J";"Fundamentos legais de julgamento";5;"Ausência de quitação eleitoral (Lei 9.504/97)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03085";"RORAINÓPOLIS";"230002109769";"J";"Fundamentos legais de julgamento";5;"Ausência de quitação eleitoral (Lei 9.504/97)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03018";"BOA VISTA";"230002121209";"J";"Fundamentos legais de julgamento";5;"Ausência de quitação eleitoral (Lei 9.504/97)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03018";"BOA VISTA";"230002393302";"J";"Fundamentos legais de julgamento";5;"Ausência de quitação eleitoral (Lei 9.504/97)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03018";"BOA VISTA";"230002121212";"J";"Fundamentos legais de julgamento";5;"Ausência de quitação eleitoral (Lei 9.504/97)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03107";"UIRAMUTÃ";"230002337303";"J";"Fundamentos legais de julgamento";5;"Ausência de quitação eleitoral (Lei 9.504/97)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03042";"AMAJARI";"230002191356";"J";"Fundamentos legais de julgamento";6;"Desatendimento a requisito formal (Lei 9.504/97)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03042";"AMAJARI";"230002191355";"J";"Fundamentos legais de julgamento";6;"Desatendimento a requisito formal (Lei 9.504/97)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03018";"BOA VISTA";"230002120563";"J";"Fundamentos legais de julgamento";6;"Desatendimento a requisito formal (Lei 9.504/97)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03018";"BOA VISTA";"230002139778";"J";"Fundamentos legais de julgamento";6;"Desatendimento a requisito formal (Lei 9.504/97)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03107";"UIRAMUTÃ";"230002128552";"J";"Fundamentos legais de julgamento";6;"Desatendimento a requisito formal (Lei 9.504/97)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03000";"CAROEBE";"230002248149";"J";"Fundamentos legais de julgamento";6;"Desatendimento a requisito formal (Lei 9.504/97)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03018";"BOA VISTA";"230002219139";"J";"Fundamentos legais de julgamento";7;"Indeferimento do DRAP do partido político/federação/coligação"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03018";"BOA VISTA";"230002365579";"J";"Fundamentos legais de julgamento";7;"Indeferimento do DRAP do partido político/federação/coligação"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03018";"BOA VISTA";"230002283992";"J";"Fundamentos legais de julgamento";7;"Indeferimento do DRAP do partido político/federação/coligação"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03018";"BOA VISTA";"230002284106";"J";"Fundamentos legais de julgamento";7;"Indeferimento do DRAP do partido político/federação/coligação"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03018";"BOA VISTA";"230002365578";"J";"Fundamentos legais de julgamento";7;"Indeferimento do DRAP do partido político/federação/coligação"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"RR";"03018";"BOA VISTA";"230002365580";"J";"Fundamentos legais de julgamento";7;"Indeferimento do DRAP do partido político/federação/coligação"
