"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"TP_MOTIVO";"DS_TP_MOTIVO";"CD_MOTIVO";"DS_MOTIVO"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"95532";"PONTE ALTA DO TOCANTINS";"270002286724";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73091";"CAMPOS LINDOS";"270001939030";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"96032";"SÃO SEBASTIÃO DO TOCANTINS";"270002379845";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73180";"SÃO MIGUEL DO TOCANTINS";"270001974384";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"95338";"GOIATINS";"270002136040";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"96954";"ALIANÇA DO TOCANTINS";"270002153403";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"95516";"PONTE ALTA DO BOM JESUS";"270002275677";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73512";"AGUIARNÓPOLIS";"270002238458";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92436";"ARAGUATINS";"270002369952";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73385";"LAGOA DA CONFUSÃO";"270002130863";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73385";"LAGOA DA CONFUSÃO";"270002127360";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73261";"PAU D'ARCO";"270002236389";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"95214";"PARANÃ";"270002312605";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"95290";"COLMÉIA";"270002336942";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92487";"PEQUIZEIRO";"270002279849";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73245";"BRASILÂNDIA DO TOCANTINS";"270002224589";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73210";"CENTENÁRIO";"270002173107";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73091";"CAMPOS LINDOS";"270001939032";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92142";"COMBINADO";"270002115170";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92436";"ARAGUATINS";"270002364710";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"94811";"NATIVIDADE";"270002250618";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73563";"MONTE SANTO DO TOCANTINS";"270002303758";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73156";"SANDOLÂNDIA";"270002024578";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73270";"MATEIROS";"270002100946";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"94633";"MIRANORTE";"270002311677";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"95338";"GOIATINS";"270002040235";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73520";"LUZINÓPOLIS";"270002257285";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92436";"ARAGUATINS";"270002356217";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73482";"CHAPADA DA NATIVIDADE";"270002250771";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92436";"ARAGUATINS";"270002369943";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"94811";"NATIVIDADE";"270002355725";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92681";"SÃO VALÉRIO";"270002174093";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92436";"ARAGUATINS";"270002369953";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73385";"LAGOA DA CONFUSÃO";"270002166521";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73440";"PALMAS";"270002323466";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92525";"PRAIA NORTE";"270002061815";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92436";"ARAGUATINS";"270002257268";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92479";"ARRAIAS";"270002201931";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"95370";"PINDORAMA DO TOCANTINS";"270002015134";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73202";"ITAPIRATINS";"270002231834";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73466";"OLIVEIRA DE FÁTIMA";"270002041808";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73318";"ARAGUANÃ";"270002305440";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"96598";"SILVANÓPOLIS";"270002317276";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92681";"SÃO VALÉRIO";"270002356213";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"93858";"GURUPI";"270002336286";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73385";"LAGOA DA CONFUSÃO";"270002126959";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"93653";"FORMOSO DO ARAGUAIA";"270002191250";"J";"Fundamentos legais de julgamento";1;"Ausência de condição de elegibilidade"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73415";"RIO DOS BOIS";"270002242640";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"95532";"PONTE ALTA DO TOCANTINS";"270002286724";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"95192";"PARAÍSO DO TOCANTINS";"270001982569";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"95516";"PONTE ALTA DO BOM JESUS";"270002188420";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"96270";"GUARAÍ";"270002330956";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"95214";"PARANÃ";"270002244493";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73210";"CENTENÁRIO";"270002173107";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92681";"SÃO VALÉRIO";"270002390881";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"95532";"PONTE ALTA DO TOCANTINS";"270002322378";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73415";"RIO DOS BOIS";"270002187353";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92134";"ALVORADA";"270002284555";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73148";"NOVO ALEGRE";"270002110514";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73164";"TAIPAS DO TOCANTINS";"270002329796";"J";"Fundamentos legais de julgamento";2;"Inelegibilidade constitucional"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"96679";"FIGUEIRÓPOLIS";"270002220869";"J";"Fundamentos legais de julgamento";3;"Inelegibilidade infraconstitucional(LC 64/90)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92410";"ARAGUAÍNA";"270002031829";"J";"Fundamentos legais de julgamento";3;"Inelegibilidade infraconstitucional(LC 64/90)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73407";"LAJEADO";"270002261371";"J";"Fundamentos legais de julgamento";3;"Inelegibilidade infraconstitucional(LC 64/90)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92088";"CASEARA";"270002040404";"J";"Fundamentos legais de julgamento";3;"Inelegibilidade infraconstitucional(LC 64/90)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"92088";"CASEARA";"270002040403";"J";"Fundamentos legais de julgamento";3;"Inelegibilidade infraconstitucional(LC 64/90)"
"08/10/2024";"12:05:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"TO";"73261";"PAU D'ARCO";"270002323554";"J";"Fundamentos legais de julgamento";3;"Inelegibilidade infraconstitucional(LC 64/90)"
